latitude,longitude,altitude(m),heading(deg),curvesize(%),rotationdir,gimbalpitch,altitudemode,speed(m/s),actions
-1.28152133,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28127009,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28101884,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28076759,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28051635,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28026510,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28001385,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27976261,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27951136,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27926011,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27900887,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27875762,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27850638,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27825513,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27800388,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27775264,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27750139,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27725014,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27699890,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27674765,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27649640,36.81767208,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27650000,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27675125,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27700249,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27725374,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27750499,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27775623,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27800748,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27825872,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27850997,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27876122,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27901246,36.81792761,75.00,180.00,0,0,-90,0,15.00,0(0)
